focus,manager,functional.bucket,location,level,num.reports.FTE,num.reports.managers,min.depth,max.depth,mean.depth,sd.depth,is.leaf,layer,num.dist.levels,manager.level,equal.dyads,align.dyads,misalign.dyads,loc.entropy,loc.herfindahl,tenure.total,tenure.manager,IsDirector,IsVP,num.dir.total.reports,org.FTE.size,org.total.size,org.FTE.yrly.growth,avg.tenure,avg.level,avg.depth,avg.span,perc.managers.single.FTE,perc.managers.two.FTE,ratio.VP.to.FTE,ratio.Dir.to.FTE,ratio.SWE.to.PM,ratio.UX.to.PM,ratio.TechPM.to.PM,num.locs,perc.manager.coloc,num.lonely.FTE,direct.report.satisfaction,VP.DIR.vision,count.VP.DIR.vision,VP.DIR.decisions,count.VP.DIR.decisions,org.climate.satisfaction,count.org.climate.satisfaction,org.climate.strong.performance,org.climate.avg.performance,avg.time.in.level,avg.promo.rate
Elizabet,Tekia,product management,DE-MUC,8,3,3,2,4,3,1,0,4,3,9,2,30,0,0.503258335,0.802469136,10.4,5.3,1,0,3,57,58,0.58,3.7,4.1,7.5,6.2,0,0,0,57,0,0,0,3,0.95,0,0.9,0.7647,34,0.8824,34,0.95,42,0.63,0.37,2,0.05
Eloise,Baby,ux team,US-SFO,6,7,0,1,1,1,0,1,5,1,6,0,7,0,0,1,6.2,2.2,0,0,7,8,8,-0.27,4.9,4.3,6.9,7,0,0,0,0,0,0,0,2,0.5,0,0.96,0,0,0,0,0.86,7,0.5,0.4,3.5,0
Elsy,Kajuana,engineering,US-SFO,6,8,0,1,1,1,0,1,6,1,7,0,8,0,0,1,8.7,3.6,0,0,8,9,9,2,3.5,4.2,7.9,8,0,0,0,0,0,0,0,1,1,0,0.98,0,0,0,0,1,8,0.8,0.2,1.5,0.1
Elwin,Danaya,engineering,TW-TPE,7,4,2,2,2,2,0,0,6,2,10,0,14,0,0,1,1.1,1.1,0,0,4,17,17,0.21,1.6,4.1,8.6,5.3,0,0,0,0,0,0,0,2,0.88,0,0.85,0,0,0,0,0.53,15,0.6,0.4,1.2,0.2
Elya,Mathieu,engineering,US-AUS,6,4,0,1,1,1,0,1,7,1,7,0,4,0,0,1,8.6,2.5,0,0,4,5,5,4,3.6,4.4,8.8,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,1.4,0.2
Elysha,Tenisa,engineering,US-LAX,6,6,0,1,1,1,0,1,7,1,7,0,6,0,0,1,9,3.2,0,0,6,7,7,-0.36,6.8,4.3,8.9,6,0,0,0,0,0,0,0,1,1,0,0.8,0,0,0,0,0.71,7,0.4,0.6,3.6,0
Elyssa,Venice,engineering,US-SFO,5,8,0,1,1,1,0,1,7,1,7,0,8,0,0,1,8.6,0.6,0,0,8,9,9,8,4,3.7,8.9,8,0,0,0,0,0,0,0,2,0.89,0,0,0,0,0,0,0,0,0.9,0.1,2.7,0.1
Elysse,Estefany,engineering,US-LAX,5,3,0,1,1,1,0,1,7,1,6,0,3,0,0,1,6,1,0,0,3,4,4,-0.33,2.8,4,8.8,3,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,5,0.7,0.3,1.7,0.1
Emerald,Tonetta,engineering,US-SFO,6,10,0,1,1,1,0,1,5,1,7,0,10,0,0,1,8.5,1.7,0,0,10,11,11,0.1,5,4.5,6.9,10,0,0,0,0,0,0,0,1,1,0,0.86,0,0,0,0,0.91,11,0.6,0.4,3.3,0.2
Emerson,Tawanna,product management,US-SFO,8,5,4,2,3,2.75,0.5,0,4,4,9,2,38,0,0,1,6.6,5.8,1,0,5,49,55,-0.17,5.1,5,7.4,4,0.08,0.08,0,49,0,1.4,0.1,3,0.96,1,0.86,0.881,42,0.8571,42,0.81,42,0.68,0.32,2,0.17
Emile,Lanelle,engineering,US-BLD,6,11,4,2,2,2,0,0,6,2,7,3,29,0,0,1,9.6,6.8,0,0,11,40,43,1.22,3.3,4.3,8.7,7.8,0,0,0,0,0,0,0,2,0.95,0,0.9,0,0,0,0,0.97,31,0.54,0.44,2.1,0.03
Emmeline,Nzinga,ux team,US-SFO,8,9,9,2,4,2.777777778,0.833333333,0,4,4,10,1,61,0,0.558629373,0.7731569,4.7,4.7,1,0,9,91,126,-0.02,3.3,4.4,7.4,3.8,0.17,0.17,0,91,0,0,0,7,0.56,0,0.89,0.75,80,0.7308,78,0.9,83,0.73,0.27,1.8,0.1
Emmette,Kayleen,operations,US-SFO,7,1,0,1,1,1,0,1,4,1,8,0,1,0,0,1,15.6,0.3,0,0,1,2,5,1,10.5,6,5.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.3,4.5,0
Emmit,Sulaiman,engineering,US-SFO,6,13,2,2,2,2,0,0,7,2,7,0,10,0,0,1,5.7,2.7,0,0,13,22,22,1.44,4.5,4.3,9.3,7,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.85,20,0.7,0.3,2.4,0.1
Emory,Gurpreet,product management,US-SFO,6,13,0,1,1,1,0,1,4,1,6,0,13,0,0,1,4.1,1.8,0,0,13,14,14,0.75,2.1,3.6,5.9,13,0,0,0,0,0,0,0,1,1,0,0.99,0,0,0,0,1,11,0.5,0.5,1.7,0.1
Emy,Annika,product management,US-SFO,6,10,1,2,2,2,0,0,6,2,8,0,3,0,0,1,2.7,2.7,0,0,10,13,13,0.44,5.7,4.7,8.1,6,0,0.5,0,0,0,0,0,1,1,0,1,0,0,0,0,1,11,0.7,0.3,3.3,0
Erna,Sabra,product management,US-SFO,6,16,0,1,1,1,0,1,5,1,8,0,16,0,0,1,4.6,4.6,0,0,16,17,17,0.42,3.9,4.5,6.9,16,0,0,0,0,0,0,0,1,1,0,0.97,0,0,0,0,1,9,0.6,0.4,2.7,0
Ernie,Chalet,product management,US-SFO,8,4,3,2,2,2,0,0,5,3,8,0,23,0,1.5,0.375,6.5,6.2,1,0,4,25,29,-0.07,4,4.9,7.8,6,0,0,0,25,0,0,0,5,0.72,0,0.83,0.7273,22,0.8636,22,0.77,22,0.4,0.5,2.5,0.1
Errol,Leilani,product management,US-SFO,7,8,1,2,2,2,0,0,5,1,9,1,3,0,0,1,2.2,2.2,0,0,8,12,12,0.09,5.4,5.2,7.2,5.5,0,0,0,0,0,0,0,3,0.75,0,0.74,0,0,0,0,0.86,7,0.8,0.3,2.8,0.1
Esha,Nicklaus,engineering,US-SFO,5,6,0,1,1,1,0,1,5,1,8,0,6,0,0,1,5.5,0.3,0,0,6,7,7,6,2,4.1,6.9,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.2,1.2,0
Essa,Stori,product management,UK-LON,7,6,0,1,1,1,0,1,5,1,9,0,6,0,0,1,6.5,1.9,0,0,6,7,7,0.17,5.2,5.6,6.9,6,0,0,0,0,0,0,0,1,1,0,0.96,0,0,0,0,0.6,5,0.9,0.1,1.7,0.2
Estefany,Annika,product management,US-LAX,6,13,2,2,2,2,0,0,6,2,8,1,7,0,0,1,11.4,5.5,0,0,13,20,21,0.11,3.1,4.2,8.3,6.3,0,0,0,0,0,0,0,1,0.95,0,0.92,0,0,0,0,0.86,14,0.7,0.3,2,0.1
Evangeline,Tameeka,product management,US-SFO,7,3,0,1,1,1,0,1,4,1,10,0,3,0,0,1,12.1,8.7,0,0,3,4,5,-0.2,9.3,5.8,5.8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.3,3.7,0.3
Evans,Shekira,engineering,US-SFO,5,2,0,1,1,1,0,1,6,1,6,0,2,0,0,1,12.7,2,0,0,2,3,3,-0.25,6.5,4,7.7,2,0,1,0,0,0,0,0,1,1,0,0.94,0,0,0,0,0,0,0.5,0.5,6.1,0
Evaristo,Shawanda,engineering,AU-SYD,5,2,0,1,1,1,0,1,7,1,7,0,2,0,0,1,6.2,0.7,0,0,2,3,3,2,2.6,3.7,8.7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.3,0.7,1.1,0
Evelia,Julisa,engineering,TW-TPE,5,16,2,2,3,2.5,0.707106781,0,6,3,9,1,16,0,0,1,2.2,2.2,0,0,19,46,49,-0.02,2.3,2.7,8.8,11.3,0,0,0,0,0,0,0,2,0.83,0,0.84,0,0,0,0,0.75,40,0.49,0.49,2.1,0.08
Evett,Jia,ux team,US-SFO,6,3,0,1,1,1,0,1,5,1,7,0,3,0,0,1,0,0,0,0,3,4,5,0,1.7,4,6.8,3,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0.5,0.5,1.7,0
Evie,Asti,product management,UK-LON,6,6,0,1,1,1,0,1,4,1,8,0,6,0,0,1,1.6,1.6,0,0,7,7,8,0.4,3.2,5.6,5.9,6,0,0,0,0,0,0,0,5,0.29,0,0,0,0,0,0,1,3,0.6,0.4,2,0
Evin,Jinnie,engineering,US-SEA,6,8,0,1,1,1,0,1,6,1,6,0,8,0,0,1,1.7,1.4,0,0,8,9,10,-0.1,2.8,4,7.9,8,0,0,0,0,0,0,0,2,0,0,0.83,0,0,0,0,0.6,10,0.5,0.5,1.9,0
Evon,Pavel,ux team,US-SFO,6,9,0,1,1,1,0,1,5,1,8,0,9,0,0,1,2,1.4,0,0,9,10,10,0.67,3.3,4.9,6.9,9,0,0,0,0,0,0,0,4,0.4,0,0.89,0,0,0,0,0.89,9,0.7,0.3,1.7,0.1
Ezekiel,Laurent,engineering,US-SFO,7,4,0,1,1,1,0,1,5,1,8,0,4,0,0,1,10.2,4.4,0,0,4,5,9,0,5.9,5.2,6.8,4,0,0,0,0,0,0,0,2,0.8,0,1,0,0,0,0,1,3,0.8,0.2,2.6,0.1
Fallan,Eliot,product management,US-SFO,8,4,4,2,3,2.5,0.577350269,0,3,4,9,5,59,0,1.614330835,0.372781065,7.9,7.6,1,0,4,66,74,0.2,4.2,4.7,6.6,5,0,0.08,0,66,0,0,0,6,0.88,1,0.92,0.8511,47,0.8261,46,0.91,65,0.64,0.32,2.1,0.1
Fallyn,Jakita,product management,US-SFO,9,7,6,2,5,3,1.264911064,0,4,5,10,0,188,0,0.491237342,0.808673469,14.8,13.5,1,0,7,218,239,0.12,5,4.4,7.9,7.8,0,0.14,0,73,0,0,0,9,0.87,0,0.92,0.6132,106,0.7087,103,0.91,183,0.64,0.35,2.7,0.08
Fancy,Jeanine,engineering,US-SFO,9,13,8,2,5,4.125,0.991031209,0,3,6,11,16,358,0,1.97956423,0.377066116,15.3,10.1,1,0,13,539,581,0.29,5.8,4.8,7.3,5.9,0.04,0.1,0,36,22,0.1,0.6,36,0.74,7,0.92,0.6076,237,0.5882,221,0.93,440,0.67,0.32,3.3,0.07
Fanta,Steffon,advocates,US-SFO,6,8,0,1,1,1,0,1,6,1,8,0,8,0,0,1,9,8,0,0,8,9,9,0.29,2.9,4.2,7.9,8,0,0,0,0,0,0,0,3,0.78,0,0.9,0,0,0,0,0.83,6,0.8,0.3,1.6,0.1
Fatema,Artur,engineering,US-SFO,6,6,0,1,1,1,0,1,6,1,7,0,6,0,0,1,5.6,0.1,0,0,6,7,7,6,2.6,4.6,7.9,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.4,0.6,1.1,0.1
Faustina,Carter,engineering,US-CAM,7,4,0,1,1,1,0,1,5,1,7,0,4,0,0,1,11.5,1.6,0,0,4,5,5,0.25,7.7,5,6.8,4,0,0,0,0,0,0,0,2,0.8,0,0.74,0,0,0,0,1,3,0.4,0.6,3.2,0.1
Fayth,Tene,engineering,TW-TPE,4,7,0,1,1,1,0,1,7,1,8,0,7,0,0,1,2.2,0.1,0,0,7,8,8,7,2.3,3.4,8.9,7,0,0,0,0,0,0,0,1,0.88,0,0,0,0,0,0,0,0,0.6,0.4,2.3,0
Felecia,Emmeline,ux team,US-SFO,6,4,1,2,2,2,0,0,5,1,8,1,3,0,0,1,6,2.5,0,0,4,8,30,1.67,3.2,4.5,7.3,3.5,0,0,0,0,0,0,0,2,0.25,0,0.74,0,0,0,0,1,4,0.8,0.2,1.8,0.2
Felipe,Charline,product management,CA-MON,6,10,4,2,2,2,0,0,6,2,7,0,15,0,0.721928095,0.68,5.6,4,0,0,10,22,22,0.69,4.6,4.1,8.5,4.2,0.2,0,0,0,0,0,0,2,0.82,0,0.94,0,0,0,0,0.93,14,0.6,0.4,2.6,0.1
Felix,Kelisha,engineering,UK-LON,6,6,0,1,1,1,0,1,6,1,7,0,6,0,0,1,5.6,1,0,0,6,7,7,0.17,1.9,4,7.9,6,0,0,0,0,0,0,0,1,1,0,0.94,0,0,0,0,0.67,3,0.8,0.2,1,0.2
Filimon,Nadine,product management,US-SFO,7,5,1,2,2,2,0,0,4,1,9,1,6,0,0,1,8.1,2.9,0,0,5,12,13,0.5,4.4,5.5,6.4,5.5,0,0,0,0,0.1,0,0,2,0.92,0,0.9,0,0,0,0,0.71,7,0.5,0.5,2.2,0.1
Fitzgerald,Tyrena,engineering,US-SFO,6,8,0,1,1,1,0,1,6,1,7,0,8,0,0,1,4.3,0.8,0,0,8,9,9,8,3,4.1,7.9,8,0,0,0,0,0,0,0,2,0.89,0,1,0,0,0,0,0.75,4,0.8,0.2,1.8,0.2
Florentina,Starlynn,engineering,US-SFO,5,5,0,1,1,1,0,1,6,1,7,0,5,0,0,1,11.7,11.7,0,0,5,6,6,0.5,5.8,4,7.8,5,0,0,0,0,0,0,0,2,0.83,0,0,0,0,0,0,0,0,0.5,0.5,3.5,0.1
Ford,Lakenya,product management,US-SFO,7,6,1,2,2,2,0,0,5,2,8,0,3,0,0,1,0.4,0.3,0,0,6,9,9,0,2.8,5.1,7.1,4,0,0.5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.6,0.4,1,0.2
Fotios,Ambika,advocates,CN-PEK,6,7,0,1,1,1,0,1,6,1,8,0,7,0,0,1,12.7,3.5,0,0,8,8,9,0.6,7.5,5,7.9,7,0,0,0,0,0,0,0,5,0.25,0,0.92,0,0,0,0,0,0,0.6,0.4,3.5,0.1
Francesco,Javonte,advocates,US-BVE,6,2,0,1,1,1,0,1,4,1,9,0,2,0,0,1,3.7,0.9,0,0,2,3,3,2,2.5,5.3,5.7,2,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0.7,0.3,2.5,0
Francia,Rolando,engineering,US-BVE,6,4,0,1,1,1,0,1,6,1,7,0,4,0,0,1,8.5,1.5,0,0,4,5,5,0,4.9,4.4,7.8,4,0,0,0,0,0,0,0,1,1,0,0.87,0,0,0,0,0,0,0.7,0.3,2.4,0.2
Franklyn,Claudine,operations,US-SFO,7,5,0,1,1,1,0,1,5,1,7,0,5,0,0,1,5.9,2.1,0,0,5,6,7,2,5.7,5.7,6.8,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0.75,4,0.6,0.4,2,0.1
Frantz,Jeanine,product management,AU-SYD,6,1,0,1,1,1,0,1,3,1,11,0,1,0,0,1,12.2,3.7,0,0,1,2,2,0,6.8,4.5,4.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,1.2,0.3
Fredric,Dat,product management,US-SFO,9,5,4,2,2,2,0,0,4,3,10,0,21,0,0,1,3.9,2.5,1,0,5,23,38,0.64,4.4,5.5,6.7,4.4,0,0,0,23,0,1.1,0,6,0.48,0,0.88,0.3846,13,0.3846,13,0.61,18,0.8,0.2,2.3,0.1
Fu,Lakeithia,ux team,US-SFO,7,9,1,2,2,2,0,0,5,2,8,0,3,0,0,1,5.3,3.7,0,0,9,12,15,0.2,2.3,4.7,7.1,5.5,0,0.5,0,0,0,0,0,3,0.75,0,0.8,0,0,0,0,0.88,8,0.6,0.3,1.2,0.2
Gao,Storm,operations,US-SFO,6,7,0,1,1,1,0,1,6,1,8,0,7,0,0,1,8.7,3.5,0,0,7,8,14,0,8,4.8,7.9,7,0,0,0,0,0,0,0,1,1,0,0.86,0,0,0,0,1,5,0.8,0.3,3.8,0
Gaston,Johnisha,engineering,DE-MUC,5,3,0,1,1,1,0,1,7,1,7,0,3,0,0,1,5.2,0.5,0,0,3,4,4,3,3.6,4,8.8,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.67,3,0.9,0.1,2,0.1
Gatlin,Kamar,support,US-SFO,6,4,0,1,1,1,0,1,2,1,13,0,4,0,0,1,14.8,8,0,0,5,5,6,-0.29,10.1,4.6,3.8,4,0,0,0,0,0,0,0,3,0.6,0,1,0,0,0,0,1,3,0.5,0.5,4.1,0.2
Gaven,Laurent,engineering,US-SFO,6,6,1,2,2,2,0,0,5,1,8,1,5,0,0,1,4.3,2.9,0,0,6,12,12,0.2,5.4,5.5,7.3,5.5,0,0,0,0,0,0,0,4,0.5,0,0.94,0,0,0,0,1,10,0.6,0.4,2.4,0.2
Gayland,Taumi,engineering,US-SFO,8,2,0,1,1,1,0,1,3,1,9,0,2,0,0,1,10.5,3,1,0,2,3,3,-0.25,11.6,6.7,4.7,2,0,1,0,3,0,0,0,1,0.67,0,0.9,0,0,0,0,0,0,1,0,5.9,0
Gene,Kimberly,support,US-SFO,6,3,0,1,1,1,0,1,5,1,7,0,3,0,0,1,8.2,4.7,0,0,4,4,5,-0.2,6.1,4.5,6.8,3,0,0,0,0,0,0,0,2,0.75,0,0,0,0,0,0,1,3,0.6,0.4,1.9,0
Genevia,Kayleen,operations,TW-TPE,6,5,0,1,1,1,0,1,4,1,8,0,5,0,0,1,8.1,0.5,0,0,6,6,7,5,2.3,4.8,5.8,5,0,0,0,0,0,0,0,1,0.83,0,0,0,0,0,0,0,0,0.8,0.2,0.9,0.2
Geni,Nocholas,engineering,BR-SAO,6,12,0,1,1,1,0,1,6,1,7,0,12,0,0,1,13.1,3.4,0,0,13,13,14,0.08,3.7,4.2,7.9,12,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,4,0.6,0.4,1.6,0.1
Genita,Delray,engineering,TW-TPE,5,5,0,1,1,1,0,1,6,1,6,0,5,0,0,1,8.4,1,0,0,5,6,6,2,2.4,3.7,7.8,5,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0.8,5,0.6,0.4,1.4,0.1
Gennifer,Myisha,engineering,US-SFO,6,3,0,1,1,1,0,1,5,1,7,0,3,0,0,1,10.4,4.2,0,0,3,4,4,-0.33,5.4,5.5,6.8,3,0,0,0,0,0,0,0,1,1,0,0.82,0,0,0,0,0,0,0.5,0.5,3.8,0
Genny,Akil,product management,CA-WAT,6,6,0,1,1,1,0,1,5,1,8,0,6,0,0,1,6.7,2,0,0,6,7,7,-0.13,5.7,4.4,6.9,6,0,0,0,0,0,0,0,1,1,0,0.9,0,0,0,0,1,4,0.7,0.2,2.9,0.1
Gentry,Devita,engineering,US-CHAP,6,6,0,1,1,1,0,1,6,1,8,0,6,0,0,1,10.2,6.4,0,0,6,7,7,0,6.6,4.6,7.9,6,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,3,0.6,0.4,2.5,0
Geordan,Takita,engineering,TW-TPE,4,10,0,1,1,1,0,1,7,1,6,0,10,0,0,1,2.2,2.2,0,0,10,11,11,0.1,2.1,3.5,8.9,10,0,0,0,0,0,0,0,1,1,0,0.95,0,0,0,0,0.78,9,0.8,0.3,1.8,0.2
Georgie,Elika,executive,TW-TPE,10,6,5,4,5,4.2,0.447213595,0,5,6,10,10,479,0,0.299802513,0.89927569,2.2,2.2,0,1,6,603,667,0.05,2.4,3.6,9.4,6.4,0,0.02,603,603,0,0,0,7,0.79,0,0.87,0.6005,438,0.6161,435,0.82,562,0.57,0.41,1.8,0.16
Gerard,Isela,product management,US-SFO,7,7,0,1,1,1,0,1,4,1,9,0,7,0,0,1,6.5,6.5,0,0,7,8,9,0,5.6,5.9,5.9,7,0,0,0,0,0,0,0,1,0.88,0,0.96,0,0,0,0,0.86,7,0.7,0.3,2.1,0.1
Gerrick,Brendan,engineering,US-SFO,5,9,0,1,1,1,0,1,5,1,7,0,9,0,0,1,5.9,0.9,0,0,9,10,10,9,4.1,4,6.9,9,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,9,0.5,0.5,3.8,0
Gillian,Shunda,engineering,US-SFO,5,1,0,1,1,1,0,1,5,1,8,0,1,0,0,1,6.2,1.2,0,0,1,2,2,0,3.8,4.5,6.5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,2.4,0
Giovanna,Lakeithia,ux team,US-SFO,6,3,0,1,1,1,0,1,5,1,8,0,3,0,0,1,1.6,1.5,0,0,3,4,4,0,3.2,4.8,6.8,3,0,0,0,0,0,0,0,2,0.75,0,1,0,0,0,0,0.5,4,0.6,0.4,1.7,0.1
Giuseppina,Julisa,engineering,TW-TPE,5,4,4,2,3,2.25,0.5,0,6,3,9,0,32,0,0,1,2.2,2.2,0,0,29,38,66,0,2.3,2.9,8.9,6.2,0,0,0,0,0,0,0,2,0.87,0,0.84,0,0,0,0,0.81,37,0.53,0.47,2,0.12
Glendalis,Keyna,engineering,DE-MUC,5,4,0,1,1,1,0,1,7,1,6,0,4,0,0,1,5.6,0,0,0,4,5,5,4,2,3.6,8.8,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1.3,0
Glenford,Rodriques,engineering,US-SFO,6,7,0,1,1,1,0,1,4,1,8,0,7,0,0,1,11.1,5.1,0,0,7,8,9,0,5.6,4.8,5.9,7,0,0,0,0,0,0,0,2,0.5,0,0.88,0,0,0,0,1,6,0.6,0.4,3.1,0.1
Glenwood,Kaya,engineering,US-SFO,6,12,0,1,1,1,0,1,4,1,8,0,12,0,0,1,14.6,4.2,0,0,14,13,15,1.6,4,4.2,5.9,12,0,0,0,0,0,0,0,1,1,0,0.94,0,0,0,0,1,9,0.7,0.3,1.9,0.1
Glynda,Kula,engineering,US-SFO,7,4,0,1,1,1,0,1,6,1,7,0,4,0,0,1,10.8,0.3,0,0,4,5,6,4,4.3,4.4,7.8,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.7,0.3,2.8,0
Grady,Dahlia,engineering,US-SFO,7,13,1,2,2,2,0,0,6,2,8,0,6,0,0,1,9.5,1.4,0,0,13,19,19,0.46,4.8,4.6,8.2,9,0,0,0,0,0,0,0,1,1,0,0.98,0,0,0,0,0.92,12,0.6,0.4,2,0.1
Grafton,Mickael,engineering,UK-LON,5,8,0,1,1,1,0,1,5,1,8,0,8,0,0,1,3.5,3.5,0,0,8,9,9,0,4.1,4.3,6.9,8,0,0,0,0,0,0,0,1,1,0,0.97,0,0,0,0,1,7,0.9,0.1,2.6,0.1
Gregoria,Devita,engineering,US-CHAP,6,5,0,1,1,1,0,1,6,1,8,0,5,0,0,1,12.7,5.2,0,0,5,6,8,0.2,7.1,4.8,7.8,5,0,0,0,0,0,0,0,1,1,0,0.98,0,0,0,0,1,5,0.8,0.3,2.7,0.2
Gregroy,Chrisoula,product management,UK-LON,6,8,0,1,1,1,0,1,6,1,6,0,8,0,0,1,1.3,1.2,0,0,8,9,9,0,3.8,4.4,7.9,8,0,0,0,0,0,0,0,1,1,0,0.7,0,0,0,0,1,8,0.7,0.3,2.1,0.1
Gretta,Fredric,product management,US-SFO,7,3,0,1,1,1,0,1,5,1,9,0,3,0,0,1,10.4,5.8,0,0,3,4,5,-0.56,4.7,5.8,6.8,3,0,0,0,0,0,0,0,4,0,0,0.97,0,0,0,0,1,8,0.9,0.1,2.5,0.1
Griselda,Jiles,product management,JP-TOK,6,3,0,1,1,1,0,1,5,1,7,0,3,0,0,1,1.8,1.7,0,0,10,4,11,0.33,1.2,5,6.8,3,0,0,0,0,0,0,0,1,0.75,0,0,0,0,0,0,0,0,0.8,0.3,1.2,0
Gunter,Tito,executive,US-Others,10,4,2,3,3,3,0,0,3,4,12,1,17,0,0.985228136,0.510204082,1.7,1.6,0,1,5,26,30,-0.33,5,5.5,6.2,3.6,0,0.14,26,26,0.1,2,0.3,4,0.73,0,0.83,0.6579,38,0.3947,38,0.7,40,0.7,0.3,2.4,0.1
Gurpreet,Taumi,engineering,US-SFO,6,10,1,2,2,2,0,0,3,1,9,1,13,0,0,1,10.4,3.6,0,0,10,24,24,0.33,3.2,4.1,5.5,11.5,0,0,0,0,0,0,0,1,0.96,0,0.96,0,0,0,0,0.93,15,0.6,0.4,1.7,0.1
Gustav,Lorraine,engineering,TW-TPE,4,5,0,1,1,1,0,1,8,1,5,0,5,0,0,1,2.2,1.3,0,0,5,6,6,1,2.3,3.5,9.8,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,4,0.4,0.5,1.9,0.2
Gwyn,Resha,engineering,TW-TPE,4,14,0,1,1,1,0,1,7,1,5,0,14,0,0,1,2.2,2.2,0,0,14,15,15,0,2.3,2.7,8.9,14,0,0,0,0,0,0,0,1,0.93,0,0.68,0,0,0,0,0.29,14,0.5,0.5,1.9,0.1
Hadley,Michelle,engineering,US-SFO,6,4,0,1,1,1,0,1,5,1,9,0,4,0,0,1,12.5,3.2,0,0,4,5,5,0.25,4.2,4.4,6.8,4,0,0,0,0,0,0,0,1,1,0,0.94,0,0,0,0,0.67,3,0.8,0.2,1.9,0.2
Hadrian,Marvin,engineering,US-CAM,6,7,0,1,1,1,0,1,7,1,7,0,7,0,0,1,9.1,5.9,0,0,7,8,9,0,5,4.3,8.9,7,0,0,0,0,0,0,0,1,1,0,0.99,0,0,0,0,1,7,0.6,0.4,3.2,0
Hakima,Laszlo,engineering,US-SFO,6,5,0,1,1,1,0,1,5,1,8,0,5,0,0,1,12.3,4.2,0,0,5,6,6,-0.4,6.9,5,6.8,5,0,0,0,0,0,0,0,1,1,0,0.95,0,0,0,0,1,4,0.8,0.2,3.1,0.1
Hala,Mychelle,engineering,TW-TPE,4,9,0,1,1,1,0,1,8,1,4,0,9,0,0,1,2.2,2.2,0,0,9,10,10,0.43,2.3,2.9,9.9,9,0,0,0,0,0,0,0,2,0.6,0,0.92,0,0,0,0,1,6,0.6,0.4,1.7,0.2
Hanson,Rodriques,product management,US-SFO,7,12,5,2,2,2,0,0,4,3,8,0,50,0,0,1,6.2,5.9,0,0,12,59,62,0.23,3.2,4.2,6.8,9.7,0.17,0,0,0,0,0,0,4,0.66,0,0.85,0,0,0,0,0.75,52,0.59,0.35,2.2,0.04
Harmony,Tene,engineering,TW-TPE,6,8,2,2,2,2,0,0,7,3,8,0,11,0,0,1,2.2,2.2,0,0,8,18,18,-0.57,2.3,3.7,9.4,5.7,0,0,0,0,0,0,0,2,0.83,0,0.9,0,0,0,0,0.88,17,0.5,0.5,1.9,0.1
Harrington,Ceasar,engineering,US-SFO,6,2,0,1,1,1,0,1,6,1,6,0,2,0,0,1,2.9,0.2,0,0,2,3,3,2,1.7,4.7,7.7,2,0,1,0,0,0,0,0,2,0.67,0,0,0,0,0,0,0,0,0.3,0.8,1.2,0
Hashim,Sora,product management,US-SFO,6,8,0,1,1,1,0,1,6,1,7,0,8,0,0,1,2.3,2.3,0,0,8,9,9,0.13,3.4,4.4,7.9,8,0,0,0,0,0,0,0,2,0.89,0,0.87,0,0,0,0,0.6,5,0.7,0.3,2.1,0.1
Haskell,Tonette,product management,US-SFO,8,4,4,2,3,2.75,0.5,0,3,4,10,1,82,0,0,1,0.9,0.9,1,0,4,99,101,0,3.8,4.4,6.6,5.8,0.12,0,0,99,0,0,0,3,0.95,0,0.88,0.6444,45,0.525,40,0.87,92,0.63,0.37,2.3,0.08
Hassan,Sherra,product management,TW-TPE,4,3,0,1,1,1,0,1,8,1,5,0,3,0,0,1,2.2,1.7,0,0,3,4,4,0.33,2.3,3.5,9.8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0.8,0.3,1.6,0.3
