focus,manager,functional.bucket,location,level,num.reports.FTE,num.reports.managers,min.depth,max.depth,mean.depth,sd.depth,is.leaf,layer,num.dist.levels,manager.level,equal.dyads,align.dyads,misalign.dyads,loc.entropy,loc.herfindahl,tenure.total,tenure.manager,IsDirector,IsVP,num.dir.total.reports,org.FTE.size,org.total.size,org.FTE.yrly.growth,avg.tenure,avg.level,avg.depth,avg.span,perc.managers.single.FTE,perc.managers.two.FTE,ratio.VP.to.FTE,ratio.Dir.to.FTE,ratio.SWE.to.PM,ratio.UX.to.PM,ratio.TechPM.to.PM,num.locs,perc.manager.coloc,num.lonely.FTE,direct.report.satisfaction,VP.DIR.vision,count.VP.DIR.vision,VP.DIR.decisions,count.VP.DIR.decisions,org.climate.satisfaction,count.org.climate.satisfaction,org.climate.strong.performance,org.climate.avg.performance,avg.time.in.level,avg.promo.rate
Mirna,Fallan,engineering,CN-PEK,6,5,4,2,2,2,0,0,4,2,8,2,27,0,0,1,12.1,2.6,0,0,5,31,31,1.07,3.4,4.1,6.8,6,0,0,0,0,0,0,0,1,0.97,0,0.81,0,0,0,0,0.88,26,0.62,0.38,1.6,0.11
Mitchelle,Chasady,product management,TW-TPE,4,3,0,1,1,1,0,1,8,1,5,0,3,0,0,1,2.2,2.2,0,0,3,4,4,0,2.3,3.8,9.8,3,0,0,0,0,0,0,0,1,1,0,0.41,0,0,0,0,0.67,3,0.3,0.8,2.3,0
Modesty,Keira,product management,US-Others,8,1,0,1,1,1,0,1,4,1,10,0,1,0,0,1,2,1,1,0,2,2,3,0,4,6.5,5.5,1,1,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0.3,0.8,4,0
Moishe,Deshaun,engineering,DE-MUC,6,9,1,2,2,2,0,0,5,1,8,1,3,0,1,0.5,9.4,2.3,0,0,9,13,13,1.6,4,4.1,7.2,6,0,0,0,0,0,0,0,2,0.92,0,0.79,0,0,0,0,0.73,11,0.6,0.4,2.8,0
Mollee,Deanne,engineering,TW-TPE,5,17,0,1,1,1,0,1,7,1,7,0,17,0,0,1,2.2,2.2,0,0,17,18,18,-0.05,2.1,3.4,8.9,17,0,0,0,0,0,0,0,2,0.89,0,0.95,0,0,0,0,0.8,15,0.7,0.3,1.8,0.2
Mollie,Haskell,product management,US-SFO,6,11,2,2,2,2,0,0,4,2,8,1,17,0,0,1,7.7,3.8,0,0,11,28,28,0.56,4,4.1,6.5,9,0,0,0,0,0,0,0,1,1,0,0.87,0,0,0,0,0.83,23,0.51,0.49,2.3,0.06
Moneeka,Lise,engineering,US-SEA,6,8,0,1,1,1,0,1,6,1,7,0,8,0,0,1,7,1.6,0,0,8,9,9,0,5.7,4.3,7.9,8,0,0,0,0,0,0,0,1,0.89,0,0.91,0,0,0,0,0.86,7,0.6,0.4,3.4,0.1
Monico,Jerzy,operations,US-SFO,8,5,5,2,2,2,0,0,3,3,10,0,27,0,1.251629167,0.5,0.4,0.2,1,0,5,28,31,0,4.5,5.3,5.8,4.5,0,0.17,0,28,0,0,0,15,0.29,0,0.98,0,0,0,0,0,0,0.59,0.39,2.6,0.04
Monik,Tomiko,engineering,US-SFO,6,7,0,1,1,1,0,1,7,1,7,0,7,0,0,1,6.5,2,0,0,7,8,9,0,3.9,4.4,8.9,7,0,0,0,0,0,0,0,1,1,0,0.97,0,0,0,0,1,5,0.5,0.5,2,0.1
Monquie,Kiona,operations,UK-LON,7,4,0,1,1,1,0,1,4,1,9,0,4,0,0,1,6.1,1.8,0,0,4,5,7,0.25,4.2,5.2,5.8,4,0,0,0,0,0,0,0,1,0.8,0,1,0,0,0,0,1,3,0.8,0.2,1.5,0.2
Montavious,Takiyah,engineering,US-NYC,5,6,0,1,1,1,0,1,6,1,6,0,6,0,0,1,10.8,4.1,0,0,6,7,7,-0.46,5.1,4.6,7.9,6,0,0,0,0,0,0,0,1,1,0,0.87,0,0,0,0,0.9,10,0.6,0.4,1.8,0.4
Montell,Sherina,engineering,US-SFO,6,8,0,1,1,1,0,1,6,1,8,0,8,0,0,1,7.1,1.2,0,0,12,9,13,-0.18,6,5.1,7.9,8,0,0,0,0,0,0,0,1,1,0,0.68,0,0,0,0,0.33,6,0.7,0.3,3.6,0.1
Montia,Barry,engineering,AU-SYD,5,3,0,1,1,1,0,1,7,1,7,0,3,0,0,1,8.1,1.7,0,0,3,4,4,3,7.1,4.3,8.8,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.8,0.1,5.7,0
Montrail,Tekia,product management,US-SFO,6,3,0,1,1,1,0,1,4,1,9,0,3,0,0,1,7.6,0,0,0,3,4,4,3,4.1,4.5,5.8,3,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,0.5,0.5,2.4,0.1
Montrice,Tene,engineering,US-SFO,6,5,4,2,2,2,0,0,7,2,8,0,26,0,0.721928095,0.68,7.9,3.2,0,0,5,28,28,27,2.6,3.5,9.8,5.4,0,0,0,0,0,0,0,4,0.71,0,0.72,0,0,0,0,0.67,21,0.54,0.41,2.1,0.09
Monyette,Terricka,engineering,US-SFO,5,9,0,1,1,1,0,1,6,1,6,0,9,0,0,1,5.2,0.8,0,0,9,10,10,9,4.5,4.2,7.9,9,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,3,0.5,0.5,3.8,0
Moshe,Daylon,product management,US-SFO,6,9,1,2,2,2,0,0,6,2,8,0,4,0,0,1,17.1,3,0,0,9,13,14,0.44,5,4.5,8.2,6,0,0,0,0,0,0,0,2,0.85,0,1,0,0,0,0,1,12,0.7,0.3,2,0.2
Moua,Wyndell,product management,UK-LON,8,7,3,2,3,2.333333333,0.577350269,0,4,3,10,0,18,0,0,1,14.1,12.3,1,0,7,35,35,0.03,4.6,4.3,6.8,6.8,0,0.2,0,35,0,0,0,1,1,0,0.91,0.68,25,0.7407,27,0.76,29,0.52,0.48,2.2,0.09
Mychael,Raelynn,product management,TW-TPE,5,7,0,1,1,1,0,1,7,1,7,0,7,0,0,1,2.2,2.2,0,0,7,8,8,0,2.3,3.6,8.9,7,0,0,0,0,0,0,0,2,0.88,0,0.89,0,0,0,0,0.57,7,0.7,0.3,2.1,0.1
Mychelle,Aleida,engineering,TW-TPE,4,10,3,2,2,2,0,0,7,2,6,1,23,0,0,1,2.2,2.2,0,0,21,32,43,0.45,2.3,2.8,9.6,7.8,0,0,0,0,0,0,0,2,0.66,0,0.9,0,0,0,0,0.95,20,0.72,0.28,1.8,0.16
Myisha,Sydne,engineering,US-SFO,7,8,8,2,2,2,0,0,4,3,9,0,46,0,0.503258335,0.802469136,12.6,7.5,0,0,8,47,47,0,5.1,4.6,6.8,5.1,0,0.11,0,0,0,0,0,4,0.89,0,0.93,0,0,0,0,0.95,39,0.73,0.26,2.9,0.07
Mykia,Taumi,product management,US-SFO,7,9,3,2,2,2,0,0,3,2,9,0,13,0,0,1,8.1,6.4,0,0,9,20,29,0.11,4.4,5.2,5.5,4.8,0,0.25,0,0,0,0,0,2,0.9,0,0.9,0,0,0,0,0.87,15,0.6,0.4,2.3,0.1
Mystie,Scot,engineering,TW-TPE,5,7,0,1,1,1,0,1,7,1,5,0,7,0,0,1,6.5,0.3,0,0,7,8,8,7,3.5,4.4,8.9,7,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.5,0.5,1.9,0.1
Nabil,Cady,product management,JP-TOK,7,15,3,2,3,2.666666667,0.577350269,0,5,3,7,2,11,0,0,1,4.1,4.1,0,0,15,36,37,0.29,7.4,4.7,7.7,5.8,0,0,0,0,0,0,0,2,0.94,0,0.88,0,0,0,0,0.83,24,0.69,0.27,4.1,0.06
Nachman,Tene,engineering,TW-TPE,5,11,1,2,2,2,0,0,7,2,8,0,6,0,0,1,2.2,2.2,0,0,11,17,17,0.06,2.2,3.4,9.2,8,0,0,0,0,0,0,0,1,0.94,0,0.94,0,0,0,0,0.67,15,0.6,0.4,2,0.1
Nadine,Tonette,product management,US-SFO,9,3,3,2,3,2.333333333,0.577350269,0,3,3,10,1,14,0,0,1,17.4,9.7,1,0,3,20,21,0.33,5.4,5.8,6.1,3.8,0.2,0,0,10,0.1,0,0,4,0.85,0,0.82,0.6429,14,0.4286,14,0.8,15,0.5,0.5,2.7,0.1
Nadja,Tameeka,product management,US-SFO,7,6,0,1,1,1,0,1,4,1,10,0,6,0,0,1,3.5,2.2,0,0,6,7,7,0.17,2.8,5.3,5.9,6,0,0,0,0,0,0,0,2,0.86,0,1,0,0,0,0,1,3,0.6,0.4,1.3,0.2
Naeema,Sandro,engineering,US-SFO,5,7,0,1,1,1,0,1,6,1,7,0,7,0,0,1,6.3,3.5,0,0,7,8,8,0.6,4.9,3.8,7.9,7,0,0,0,0,0,0,0,2,0.25,0,0.98,0,0,0,0,1,6,0.5,0.5,4,0
Najee,Teala,engineering,UK-LON,6,5,2,2,2,2,0,0,5,2,7,0,5,0,0,1,9,3,0,0,5,9,9,0,4.4,4.4,7.2,2.7,0.33,0.33,0,0,0,0,0,2,0.89,0,0.9,0,0,0,0,1,6,0.5,0.5,2,0
